date,daily_active_kwh,baseline_kwh,deviation_pct,active_hours_count,mean_active_intensity,t1a_zscore_severity,t1b_cusum_severity,t2a_iforest_severity,t2b_lstm_severity,t3_changepoint_severity,s1,s2,s3,ensemble_score,vote_count,anomaly_type,confidence,physically_supported,is_ground_truth
2025-11-23,104.58700000000002,91.3725,14.462228788591089,15,6.972466666666668,0.0,0.0,0.19213085528344886,0.0,0.0,0.0,0.19213085528344886,0.0,0.0672457993492071,0,increase,low,False,0
2025-11-24,103.672,91.618,13.156803248126389,15,6.911466666666668,0.0,0.0,0.16374585757560567,0.0,0.0,0.0,0.16374585757560567,0.0,0.05731105015146198,0,increase,low,False,0
2025-11-25,103.111,91.9165,12.178988538378,15,6.874066666666667,0.0,0.0,0.12517965980685927,0.0,0.0,0.0,0.12517965980685927,0.0,0.043812880932400745,0,increase,low,False,0
2025-11-26,102.68099999999998,92.1515,11.426292572433136,15,6.845399999999999,0.0,0.0,0.08557728915447677,0.0,0.0,0.0,0.08557728915447677,0.0,0.029952051204066864,0,increase,low,False,0
2025-11-27,103.645,92.37,12.206344050966685,15,6.909666666666667,0.0,0.0,0.09842579480576982,0.0,0.0,0.0,0.09842579480576982,0.0,0.034449028182019434,0,increase,low,False,0
2025-11-28,104.398,92.497,12.866363233263058,15,6.959866666666668,0.0,0.0,0.09805684499333547,0.0,0.0,0.0,0.09805684499333547,0.0,0.03431989574766741,0,increase,low,False,0
2025-11-29,104.263,92.7245,12.443852487611752,15,6.950866666666667,0.0,0.0,0.10416325447276138,0.0,0.0,0.0,0.10416325447276138,0.0,0.03645713906546648,0,increase,low,False,0
2025-11-30,105.092,92.941,13.073885583186385,15,7.0061333333333335,0.0,0.0,0.11702156929822552,0.0,0.0,0.0,0.11702156929822552,0.0,0.04095754925437893,0,increase,low,False,0
2025-12-01,103.585,93.488,10.800316618060062,15,6.905666666666666,0.0,0.0,0.1037153653003494,0.0,0.0,0.0,0.1037153653003494,0.0,0.03630037785512229,0,increase,low,False,0
2025-12-02,104.424,94.274,10.766489169752361,15,6.9616,0.0,0.0,0.09887393224282753,0.0,0.0,0.0,0.09887393224282753,0.0,0.03460587628498964,0,increase,low,False,0
2025-12-03,103.99,97.462,6.697995115976495,15,6.932666666666666,0.0,0.0,0.09239881201412148,0.0,0.0,0.0,0.09239881201412148,0.0,0.03233958420494252,0,normal,low,False,0
2025-12-04,104.703,101.4445,3.212101198160449,15,6.9802,0.0,0.0,0.09752323541413613,0.0,0.0,0.0,0.09752323541413613,0.0,0.03413313239494764,0,normal,low,False,0
2025-12-05,104.136,102.585,1.5119169469073284,15,6.9424,0.0,0.0,0.09654016914240561,0.0,1.0,0.0,0.09654016914240561,1.0,0.3337890591998419,1,normal,moderate,False,0
