Date,GAF_ReconError_Raw,n_present,presence_ratio,GAF_ReconError_MaskAware,GAF_Anomaly_Score
2025-05-17,0.07664605264761463,24,1.0,0.07664605264761463,0.05158806843415045
2025-05-15,0.07603220105226215,24,1.0,0.07603220105226215,0.05092722337416059
2025-07-21,0.07593643088803864,24,1.0,0.07593643088803864,0.0508241215163163
2025-01-28,0.07545450521209876,24,1.0,0.07545450521209876,0.0503053019764823
2025-07-28,0.07539056472708548,24,1.0,0.07539056472708548,0.05023646652183122
2025-05-16,0.07488309642003749,24,1.0,0.07488309642003749,0.04969014893244462
2026-01-17,0.07474089830453526,24,1.0,0.07474089830453526,0.04953706482729449
2025-01-27,0.07451889326698087,24,1.0,0.07451889326698087,0.04929806417392576
2025-11-24,0.07442756156172073,24,1.0,0.07442756156172073,0.049199740561673914
2025-01-29,0.07365240945853199,24,1.0,0.07365240945853199,0.048365246618819725
2025-07-25,0.07274694248223852,24,1.0,0.07274694248223852,0.04739046153591398
2025-10-16,0.07233359727665645,24,1.0,0.07233359727665645,0.04694547265057508
2025-11-25,0.07194182335173303,24,1.0,0.07194182335173303,0.046523706437244954
2026-01-24,0.07157830764832486,24,1.0,0.07157830764832486,0.04613236175614481
2025-05-14,0.07144362655216065,24,1.0,0.07144362655216065,0.04598737013643087
2025-07-26,0.07116825854769512,24,1.0,0.07116825854769512,0.04569092130937225
2025-07-27,0.07098285091854718,24,1.0,0.07098285091854718,0.04549131978233461
2025-05-03,0.07046693724063585,24,1.0,0.07046693724063585,0.04493591028595116
2026-01-19,0.07032959183800415,24,1.0,0.07032959183800415,0.04478805039354612
2025-11-22,0.0700724673284051,24,1.0,0.0700724673284051,0.0445112416937605
2025-01-26,0.07586883958772525,22,0.9167,0.06954643628874814,0.04394494030008404
2025-05-01,0.06945902426539392,24,1.0,0.06945902426539392,0.043850836441342446
2025-01-30,0.06917982710775966,24,1.0,0.06917982710775966,0.043550265319946456
2025-11-12,0.06901348187257206,24,1.0,0.06901348187257206,0.0433711855101702
2026-01-21,0.06878878675711696,24,1.0,0.06878878675711696,0.04312928883974273
2025-07-29,0.06878807975112222,24,1.0,0.06878807975112222,0.04312852770883985
2025-11-28,0.06873576874333787,24,1.0,0.06873576874333787,0.043072212027103235
2025-01-31,0.06867678970789545,24,1.0,0.06867678970789545,0.043008717846245555
2025-05-11,0.06865333563499688,24,1.0,0.06865333563499688,0.042983468244665944
2025-11-20,0.0683476426502165,24,1.0,0.0683476426502165,0.04265437290567009
2025-07-30,0.0682092673856117,24,1.0,0.0682092673856117,0.042505404310115055
2025-08-01,0.06810967964161023,24,1.0,0.06810967964161023,0.04239819261732616
2025-05-04,0.06807003407446077,24,1.0,0.06807003407446077,0.042355511980182635
2025-05-10,0.06802929549089583,24,1.0,0.06802929549089583,0.042311654650652654
2025-07-31,0.0679006796452835,24,1.0,0.0679006796452835,0.042173192607297495
2026-01-16,0.06779669283766451,24,1.0,0.06779669283766451,0.042061245080176286
2025-08-02,0.06766977639893994,24,1.0,0.06766977639893994,0.04192461254195753
2025-05-07,0.0676062989723106,24,1.0,0.0676062989723106,0.04185627559516703
2025-05-09,0.06750435507267606,24,1.0,0.06750435507267606,0.04174652737103657
2025-05-02,0.06737501885055759,24,1.0,0.06737501885055759,0.04160728980268641
2025-04-30,0.06727024796405792,24,1.0,0.06727024796405792,0.041494498171454584
